lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/acc,epoch,train/acc,train/loss,test/loss,test/acc,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,
,,18,1.4137468338012695,0.4000000059604645,0,,,,,
,,18,,,0,0.6866666674613953,,,,
0.0001442986898059786,0.0001442986898059786,19,,,,,,,,
,,37,0.8956207036972046,0.7200000286102295,1,,,,,
,,37,,,1,0.846666693687439,,,,
0.0001442986898059786,0.0001442986898059786,38,,,,,,,,
,,49,,,2,,0.14260819554328918,,,
,,56,0.6739387512207031,0.800000011920929,2,,,,,
,,56,,,2,0.8666666746139526,,,,
0.0001442986898059786,0.0001442986898059786,57,,,,,,,,
,,75,0.7950836420059204,0.7599999904632568,3,,,,,
,,75,,,3,0.8866666555404663,,,,
1.442986898059786e-05,1.442986898059786e-05,76,,,,,,,,
,,94,0.631254255771637,0.7799999713897705,4,,,,,
,,94,,,4,0.8733333349227905,,,,
1.442986898059786e-05,1.442986898059786e-05,95,,,,,,,,
,,99,,,5,,0.5943653583526611,,,
,,113,0.6089040637016296,0.7799999713897705,5,,,,,
,,113,,,5,0.8866666555404663,,,,
1.442986898059786e-05,1.442986898059786e-05,114,,,,,,,,
,,132,0.6217473745346069,0.7799999713897705,6,,,,,
,,132,,,6,0.8933333158493042,,,,
1.442986898059786e-05,1.442986898059786e-05,133,,,,,,,,
,,149,,,7,,0.9162663221359253,,,
,,151,0.6426199078559875,0.7799999713897705,7,,,,,
,,151,,,7,0.8933333158493042,,,,
1.4429868980597862e-06,1.4429868980597862e-06,152,,,,,,,,
,,170,0.6399999856948853,0.7799999713897705,8,,,,,
,,170,,,8,0.8799999952316284,,,,
1.4429868980597862e-06,1.4429868980597862e-06,171,,,,,,,,
,,189,0.6229514479637146,0.7799999713897705,9,,,,,
,,189,,,9,0.8866666555404663,,,,
1.4429868980597862e-06,1.4429868980597862e-06,190,,,,,,,,
,,199,,,10,,0.25830984115600586,,,
,,208,0.6210845112800598,0.7799999713897705,10,,,,,
,,208,,,10,0.8999999761581421,,,,
1.4429868980597862e-06,1.4429868980597862e-06,209,,,,,,,,
,,227,0.6203591823577881,0.7799999713897705,11,,,,,
,,227,,,11,0.8866666555404663,,,,
1.4429868980597863e-07,1.4429868980597863e-07,228,,,,,,,,
,,246,0.6327078342437744,0.7799999713897705,12,,,,,
,,246,,,12,0.8999999761581421,,,,
1.4429868980597863e-07,1.4429868980597863e-07,247,,,,,,,,
,,249,,,13,,0.24868839979171753,,,
,,265,0.6173000335693359,0.7799999713897705,13,,,,,
,,265,,,13,0.8999999761581421,,,,
1.4429868980597863e-07,1.4429868980597863e-07,266,,,,,,,,
,,284,0.6342764496803284,0.7799999713897705,14,,,,,
,,284,,,14,0.8999999761581421,,,,
1.4429868980597863e-07,1.4429868980597863e-07,285,,,,,,,,
,,299,,,15,,1.0911567211151123,,,
,,303,0.6185621023178101,0.7799999713897705,15,,,,,
,,303,,,15,0.8933333158493042,,,,
1.4429868980597864e-08,1.4429868980597864e-08,304,,,,,,,,
,,322,0.621049165725708,0.7799999713897705,16,,,,,
,,322,,,16,0.8999999761581421,,,,
,,323,,,17,,,0.3258245587348938,0.9215555787086487,0.3913935720920563
